,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
500,TRUE,45,3.850952,183.8842,, 
501,TRUE,23,3.852008,177.7206,, 
502,TRUE,23,3.851328,171.7947,, 
503,TRUE,25,3.851952,156.1723,, 
504,TRUE,45,3.852104,165.8208,, 
505,TRUE,46,3.849376,194.019,, 
506,TRUE,25,3.851008,207.5873,, 
507,TRUE,27,3.850376,164.6025,, 
508,TRUE,24,3.84904,199.1757,, 
509,TRUE,40,3.90236,210.9913,, 
510,TRUE,29,3.897112,144.9976,, 
511,TRUE,26,3.8924,183.7771,, 
512,TRUE,45,3.852584,203.44,, 
513,TRUE,25,3.89072,221.139,, 
514,TRUE,23,3.889592,163.582,, 
515,TRUE,27,3.8882,233.7747,, 
516,TRUE,42,3.8878,178.9871,, 
517,TRUE,41,3.888288,195.747,, 
518,TRUE,64,3.888656,189.6125,, 
519,TRUE,27,3.88776,188.1963,, 
520,TRUE,26,3.88784,235.3505,, 
521,TRUE,26,3.888184,225.6481,, 
522,TRUE,61,3.88896,182.1554,, 
523,TRUE,47,3.888496,169.1645,, 
524,TRUE,25,3.8882,218.291,, 
525,TRUE,21,3.888944,168.5502,, 
526,TRUE,45,3.889168,245.6585,, 
527,TRUE,28,3.888696,209.0833,, 
528,TRUE,59,3.88996,162.9706,, 
529,TRUE,44,3.922288,196.9733,, 
530,TRUE,42,3.8902,184.4522,, 
531,TRUE,22,3.922264,181.1824,, 
532,TRUE,29,3.89132,188.3195,, 
533,TRUE,36,3.891592,144.9827,, 
534,TRUE,43,3.890712,162.6262,, 
535,TRUE,27,3.891184,217.9728,, 
536,TRUE,45,3.923368,170.2391,, 
537,TRUE,26,3.92448,230.1784,, 
538,TRUE,47,3.892448,175.9146,, 
539,TRUE,46,3.924152,234.5154,, 
540,TRUE,26,3.924584,173.5779,, 
541,TRUE,45,3.8928,182.8447,, 
542,TRUE,39,3.924096,210.408,, 
543,TRUE,61,3.892936,201.4223,, 
544,TRUE,27,3.924608,235.207,, 
545,TRUE,57,3.924808,241.7537,, 
546,TRUE,46,3.893184,173.8359,, 
547,TRUE,45,3.894008,188.9845,, 
548,TRUE,48,3.925448,165.6254,, 
549,TRUE,45,3.926488,251.7369,, 
550,TRUE,46,3.926824,156.9107,, 
551,TRUE,63,3.927904,216.451,, 
552,TRUE,27,3.92768,214.4894,, 
553,TRUE,26,3.928304,227.1286,, 
554,TRUE,45,3.928552,180.0731,, 
555,TRUE,24,3.928208,213.6468,, 
556,TRUE,61,3.960424,264.9072,, 
557,TRUE,24,3.929488,167.5097,, 
558,TRUE,25,3.929672,218.5644,, 
559,TRUE,59,3.929432,188.8753,, 
560,TRUE,26,3.929984,209.4987,, 
561,TRUE,25,3.962208,232.4766,, 
562,TRUE,46,3.930584,214.9679,, 
563,TRUE,27,3.930944,237.1275,, 
564,TRUE,49,3.93024,217.8076,, 
565,TRUE,24,3.963568,202.5685,, 
566,TRUE,24,3.931984,179.058,, 
567,TRUE,26,3.964064,177.2585,, 
568,TRUE,60,3.93292,244.9121,, 
569,TRUE,24,3.964712,218.0204,, 
570,TRUE,27,3.931968,152.8883,, 
571,TRUE,43,3.93216,209.7349,, 
572,TRUE,43,3.96536,219.1234,, 
573,TRUE,23,3.96612,228.9553,, 
574,TRUE,25,3.966216,194.0708,, 
575,TRUE,50,3.9662,247.4162,, 
576,TRUE,58,3.966952,203.9839,, 
577,TRUE,24,3.935016,196.721,, 
578,TRUE,48,3.966048,226.1762,, 
579,TRUE,46,3.968056,158.6606,, 
580,TRUE,44,3.935032,184.8606,, 
581,TRUE,39,3.967112,195.1675,, 
582,TRUE,47,3.967752,224.9916,, 
583,TRUE,26,3.967904,205.8151,, 
584,TRUE,25,3.93636,218.9794,, 
585,TRUE,26,3.968464,278.2712,, 
586,TRUE,39,3.970088,275.5105,, 
587,TRUE,43,3.969024,216.4648,, 
588,TRUE,28,3.970544,288.5923,, 
589,TRUE,25,3.969184,251.2992,, 
590,TRUE,46,3.970304,267.4438,, 
591,TRUE,42,3.970224,226.2067,, 
592,TRUE,46,3.971008,256.9162,, 
593,TRUE,43,3.971648,193.3078,, 
594,TRUE,28,3.971368,206.9443,, 
595,TRUE,25,3.971872,203.2887,, 
596,TRUE,44,3.971808,184.0594,, 
597,TRUE,46,3.972072,231.3825,, 
598,TRUE,24,3.971792,209.6476,, 
599,TRUE,44,3.939512,168.278,, 
600,TRUE,37,3.972112,244.5191,, 
601,TRUE,44,3.972504,226.6186,, 
602,TRUE,42,3.972664,229.1551,, 
603,TRUE,60,4.006936,157.0068,, 
604,TRUE,43,3.974472,181.0214,, 
605,TRUE,44,3.97304,257.6166,, 
606,TRUE,42,3.973616,161.5393,, 
607,TRUE,25,4.00824,252.9393,, 
608,TRUE,45,3.975736,241.7181,, 
609,TRUE,45,3.973496,240.1583,, 
610,TRUE,25,4.008112,215.54,, 
611,TRUE,44,4.009432,251.3375,, 
612,TRUE,26,3.975464,248.1677,, 
613,TRUE,30,3.974992,271.5494,, 
614,TRUE,21,4.010328,203.0106,, 
615,TRUE,39,4.011096,333.0154,, 
616,TRUE,43,3.976424,258.4959,, 
617,TRUE,24,4.009984,220.2854,, 
618,TRUE,26,3.977224,194.0489,, 
619,TRUE,59,4.0448,205.5614,, 
620,TRUE,63,3.978592,245.7375,, 
621,TRUE,44,4.011328,248.933,, 
622,TRUE,48,3.978472,245.6741,, 
623,TRUE,47,4.01124,234.1835,, 
624,TRUE,27,3.978824,187.1779,, 
625,TRUE,46,3.977888,253.6007,, 
626,TRUE,47,4.011736,207.9266,, 
